year,week,user_id,site_id,department_encoded,insee_code_encoded,nace_code,weekly_dd_heating_15,weekly_dd_heating_16,weekly_dd_heating_17,weekly_dd_heating_18,weekly_dd_cooling_22,weekly_dd_cooling_23,weekly_dd_cooling_24,weekly_dd_cooling_25,weekly_dd_cooling_26,mean_indoor_temperature_00,max_indoor_temperature_00,min_indoor_temperature_00,mean_indoor_humidity_00,max_indoor_humidity_00,min_indoor_humidity_00,weekly_E_kWh,outlier,cluster,high_consumption
2021,19,458,513,3,60,72.19,0.0,0.0,0.0,0.0,30.777,23.782,16.877,10.505,6.14,27.147,28.6,22.37,66.107,75.0,0.0,645.595,1,2,0
2021,20,458,513,3,60,72.19,0.0,0.0,0.0,0.0,36.014,29.014,22.014,15.133,9.265,28.244,29.32,25.16,64.013,69.0,48.0,621.71,1,2,0
2021,21,458,513,3,60,72.19,0.0,0.0,0.0,0.0,33.708,26.712,19.863,13.425,8.437,27.905,28.99,23.71,63.005,73.0,0.0,593.756,1,2,0
2021,22,458,513,3,60,72.19,0.0,0.0,0.0,0.0,31.759,24.759,17.845,11.288,6.28,27.587,29.06,23.48,65.25,73.0,54.0,598.007,1,2,0
2021,23,458,513,3,60,72.19,0.0,0.0,0.0,0.0,33.923,26.923,19.925,13.151,7.506,27.454,29.17,23.68,69.894,76.0,55.0,616.96,1,2,0
2021,24,458,513,3,60,72.19,0.0,0.0,0.0,0.0,34.645,27.645,20.645,13.689,7.158,27.17,28.83,23.44,68.714,77.0,56.0,586.908,1,2,0
2021,25,458,513,3,60,72.19,0.0,0.0,0.0,0.0,32.572,25.572,18.572,11.89,6.861,27.087,28.76,23.44,68.149,76.0,56.0,560.187,1,2,0
2021,26,458,513,3,60,72.19,0.0,0.0,0.0,0.0,31.591,25.591,19.591,13.592,8.253,27.461,29.15,26.14,70.885,78.0,54.0,547.862,1,2,0
2021,27,458,513,3,60,72.19,0.0,0.0,0.0,0.0,34.605,27.605,20.605,13.82,7.653,27.526,29.02,23.85,70.325,77.0,55.0,615.367,1,2,0
2021,28,458,513,3,60,72.19,0.0,0.0,0.0,0.0,36.271,29.271,22.271,15.303,9.123,27.526,29.43,22.43,70.026,76.0,60.0,631.292,1,2,0
2021,29,458,513,3,60,72.19,0.0,0.0,0.0,0.0,38.723,31.723,24.723,17.853,11.552,27.335,28.7,22.25,70.72,78.0,57.0,763.61,1,2,0
2021,30,458,513,3,60,72.19,0.0,0.0,0.0,0.0,37.659,30.659,23.68,16.96,11.11,27.71,28.64,25.79,69.659,77.0,63.0,582.61,1,2,0
2021,31,458,513,3,60,72.19,0.0,0.0,0.0,0.0,35.1,28.208,21.633,15.67,10.672,28.232,29.39,24.52,67.322,74.0,56.0,602.082,1,2,0
2021,32,458,513,3,60,72.19,0.0,0.0,0.0,0.0,28.6,23.6,18.6,13.839,9.534,27.876,29.1,23.04,70.743,77.0,57.0,628.229,1,2,0
2021,33,458,513,3,60,72.19,0.0,0.0,0.0,0.0,39.623,32.623,25.666,18.879,12.417,27.687,28.77,26.45,71.359,78.0,0.0,610.496,1,2,0
2021,34,458,513,3,60,72.19,0.0,0.0,0.0,0.0,42.349,35.349,28.349,21.392,14.67,28.266,29.49,25.25,68.316,75.0,56.0,660.924,1,2,0
2021,35,458,513,3,60,72.19,0.0,0.0,0.0,0.0,36.346,29.578,23.216,17.499,12.278,28.674,29.73,25.76,67.676,74.0,59.0,642.6,1,2,0
2021,38,458,513,3,60,72.19,0.0,0.0,0.0,0.0,35.55,28.953,22.883,17.826,13.713,27.509,29.68,21.75,70.85,77.0,59.0,798.68,1,2,0
2021,39,458,513,3,60,72.19,0.0,0.0,0.0,0.0,35.909,29.018,22.616,17.116,12.398,28.009,29.82,25.06,69.933,78.0,60.0,861.295,1,2,1
2021,40,458,513,3,60,72.19,0.0,0.0,0.0,0.0,38.277,31.277,24.277,17.453,11.365,28.619,30.0,26.14,65.585,75.0,0.0,866.263,1,2,1
2021,41,458,513,3,60,72.19,0.0,0.0,0.0,0.0,38.633,31.654,24.804,18.466,13.132,27.675,29.63,25.12,72.792,81.0,59.0,601.358,1,2,0
2021,42,458,513,3,60,72.19,0.0,0.0,0.0,0.0,37.969,30.969,24.294,18.157,12.513,28.083,28.99,26.86,65.845,72.0,58.0,609.706,1,2,0
2021,43,458,513,3,60,72.19,0.0,0.0,0.0,0.0,32.565,26.098,20.148,14.658,10.076,27.862,28.95,26.83,63.032,67.0,54.0,590.464,1,2,0
2021,44,458,513,3,60,72.19,0.0,0.0,0.0,0.0,32.542,25.947,19.854,14.237,9.61,27.569,28.69,26.51,65.848,69.0,61.0,596.841,1,2,0
2021,45,458,513,3,60,72.19,0.0,0.0,0.0,0.0,30.185,23.336,16.996,11.498,7.357,27.117,27.98,24.39,67.842,72.0,54.0,578.036,1,2,0
2021,46,458,513,3,60,72.19,0.0,0.0,0.0,0.0,29.626,22.734,16.186,10.184,5.748,26.775,27.77,23.22,69.153,74.0,55.0,585.441,1,2,0
2021,47,458,513,3,60,72.19,0.0,0.0,0.0,0.0,26.36,20.255,15.025,10.751,7.336,27.188,27.97,26.35,69.259,75.0,64.0,583.649,1,2,0
2021,48,458,513,3,60,72.19,0.0,0.0,0.0,0.0,13.893,10.893,7.893,5.083,2.875,26.971,27.86,26.22,69.007,74.0,58.0,608.642,1,2,0
2021,49,458,513,3,60,72.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.42,27.81,21.54,67.428,71.0,55.0,620.967,1,2,0
2021,50,458,513,3,60,72.19,0.0,0.0,0.0,0.0,3.986,2.986,1.986,1.095,0.534,26.638,28.15,24.2,65.416,71.0,0.0,595.892,1,2,0
2021,51,458,513,3,60,72.19,0.0,0.0,0.0,0.0,25.076,18.568,12.475,7.473,4.116,26.596,27.54,24.65,65.582,70.0,57.0,573.645,1,2,0
2021,52,458,513,3,60,72.19,0.0,0.0,0.0,0.0,21.468,15.247,9.732,5.755,3.249,26.275,27.59,24.89,64.336,71.0,0.0,567.385,1,2,0
2022,1,458,513,3,60,72.19,0.0,0.0,0.0,0.0,19.924,13.76,8.58,5.187,2.86,25.493,27.07,20.73,65.215,74.0,56.0,581.015,1,2,0
2022,2,458,513,3,60,72.19,0.0,0.0,0.0,0.0,17.314,12.294,8.12,4.94,2.455,25.915,27.33,24.76,65.458,73.0,60.0,474.458,1,2,0
2022,3,458,513,3,60,72.19,0.0,0.0,0.0,0.0,20.347,14.011,8.796,5.275,2.692,25.879,27.21,21.8,64.728,72.0,55.0,428.728,1,2,0
2022,4,458,513,3,60,72.19,0.0,0.0,0.0,0.0,15.395,10.561,6.765,3.853,1.607,25.134,26.7,21.87,65.507,71.0,58.0,616.418,1,2,0
2022,5,458,513,3,60,72.19,0.0,0.0,0.0,0.0,18.888,14.152,10.153,6.95,4.355,25.768,27.02,21.8,65.188,70.0,52.0,648.373,1,2,0
2022,6,458,513,3,60,72.19,0.0,0.0,0.0,0.0,21.219,14.433,8.611,4.674,2.236,25.954,27.02,23.62,62.481,69.0,53.0,544.8,1,2,0
2022,7,458,513,3,60,72.19,0.0,0.0,0.0,0.0,20.172,13.596,8.237,4.544,2.036,25.528,26.82,24.45,66.959,74.0,57.0,612.188,1,2,0
2022,8,458,513,3,60,72.19,0.0,0.0,0.0,0.0,18.127,12.663,8.334,5.319,3.005,25.581,27.28,20.59,64.928,72.0,49.0,646.223,1,2,0
2022,9,458,513,3,60,72.19,0.0,0.0,0.0,0.0,23.198,16.372,10.095,5.32,2.393,25.977,26.84,22.78,68.095,74.0,58.0,604.798,1,2,0
